numero di parole,PAROLE_ESSENZIALI,1sost2Verbi3Agg4Avv,PAROLA,LetteraIniziale,ContieneDoppie,CosaE,DeMauro,COLFISfASS,Nsillabe,Sillaba1,Sillaba2,Sillaba3,Sillaba4,Sillaba5,Sillaba6,NonParola1_similexfinale,NonParola2_similexiniziali,FRASE,ChiCosComDovQuaPer,ChiCosComDovQuaPerCorr,ChiCosComDovQuaPerErr1,ChiCosComDovQuaPerErr2,,FrasiOhO,FraseOhO,corretta,errata,,articoloIndizio,fraseArticoli,par_F_sing,par_F_plur,par_M_sing,par_M_plur,,CECISONOCISARANNO,FraseCECISON,Passato,Presente,Futuro,Indizio_parte_del_testo,Indizio,parte_da_eliminareCORRETTA,Errata1,Errata2,ConsonanteVocale,,PAROLA,1Animali,1Vegetali,2PartidelCorpo,2Abbigliamento,2MangiareeBere,2Mobilia,2MezzoT
1,,1,accappatoio,a,1,s.,3,3,5,ac,cap,pa,to,io,,artebbiatioio,accassareie,La mamma mi ha comprato l'accappatoio di Batman,Cosa ha comprato la mamma?,Accappatoio,Shampoo,Coperta,,La mamma mi ha comprato l'accappatoio di Batman,La mamma mi ... comprato l'accappatoio di Batman,HA,A,,par_F_sing,La ... mi ha comprato l'accappatoio di Batman,mamma,mamme,papà,,,Al supermercato ci sono gli accappatoi di Batman,Al supermercato ... gli accappatoi di Batman,0,1,0,NO,PRESENTE,ci sono,ci saranno,c'era,VCCVCCVCVVV,,accappatoio,,,,1,,,
2,,1,acqua,a,2,s.,1,960,2,ac,qua,,,,,ecqua,acquo,Le acque del Mar dei Caraibi sono turchesi,Come sono le acque del Mar dei Caraibi?,Turchesi,Arancio,Rosse,,Preferisci bere l'acqua o il succo?,Preferisci bere l'acqua ... il succo?,O,HO,,par_F_plur,Le ... del Mar dei Caraibi sono turchesi,acqua,acque,cavalloni,,,Stamattina c'era acqua sul pavimento.,Stamattina ... acqua sul pavimento,1,0,0,NO,PASSATO,c'era,c'è,ci sarà,VCCVV,,acqua,,,,,1,,
3,,1,acquario,a,2,s.,2,10,3,ac,qua,rio,,,,barrario,acquerra,C'era un polpo nell'acquario,Cosa c'era nell'acquario?,Polpo,Pesci,Paguro,,,,,,,,,,,,,,C'era un polpo nell'acquario,... un polpo nell'acquario,1,0,0,NO,PASSATO,c'era,ci saranno,ci sono,VCCVVCVV,,acquario,,,,,,1,
4,,1,aereo,a,2,s.,1,201,4,a,e,re,o,,,bateo,aebia,Ho visto passare un aereo fra le nuvole,Dov'era l'aereo?,Fra le nuvole,In aeroporto,In pista,,Ho visto passare un aereo fra le nuvole,... visto passare un aereo fra le nuvole,HO,O,,,,,,,,,,,,,,,,,,,VVCVV,,aereo,,,,,,,1
5,,1,aglio,a,2,s.,2,49,2,a,glio,,,,,reglio,agleo,Il vampiro non sopporta l'aglio,Cosa non sopporta il vampiro?,Aglio,Ancora,Luce,,,,,,,par_M_sing,Il ... non sopporta l'aglio,mummia,streghe,vampiro,,,,,,,,,,,,,VCCVV,,aglio,,1,,,1,,
6,,1,agnello,a,1,s.,3,20,3,a,gnel,lo,,,,tegnello,agnivo,Gli agnelli hanno un pelo morbido,Cos'ha un pelo morbido?,Agnello,Cane,Mucca,,L'agnello ha un pelo morbido,L'agnello ... un pelo morbido,HA,A,,par_M_plur,Gli ... agnelli hanno un pelo morbido,,pecore,agnello,agnelli,,"Sulle colline, ieri c'erano degli agnelli","Sulle colline, ieri ... degli agnelli",1,0,0,SI,PASSATO,c'erano,ci sarà,ci sono,VCCVCCV,,agnello,1,,,,,,
7,,1,albero,a,2,s.,1,133,3,al,be,ro,,,,barero,albati,L'albero sulla collina è secolare,Dove è l'albero secolare?,Sulla collina,Sul prato,In giardino,,Gli alberi hanno radici che li ancorano al suolo,Gli alberi ... radici che li ancorano al suolo,HANNO,ANNO,,par_M_plur,Gli ... hanno radici che li ancorano al suolo,,ninfee,albero,alberi,,L'anno scorso nel bosco vicino al rifugio c'erano molti alberi,L'anno scorso nel bosco vicino al rifugio ... molti alberi,1,0,0,SI,PASSATO,c'erano,ci sono ,ci sarà,VCCVCV,,albero,,1,,,,,
8,1,1,albicocche,a,1,s.,2,8,4,al,bi,coc,che,,,belicocche,albinorcne,Le albicocche sono mature,Come sono le albicocche?,Mature,Murate,Acerbe,,Le albicocche hanno il nocciolo,Le albicocche ... il nocciolo,HANNO,ANNO,,par_F_plur,Le ... sono mature,ciliegia,albicocche,,olivi,,Domani per merenda ci saranno le albicocche,Domani per merenda ... le albicocche,0,0,1,SI,FUTURO,ci saranno,c'erano,ci sono,VCCVCVCCCV,,albicocche,,1,,,1,,
9,1,1,alga,a,2,s.,2,2,2,al,ga,,,,,erga,alvo,Le alghe sono organismi che vivono nel mare ,Dove vivono le alghe?,Mare ,Montagna,Deserto,,Le alghe hanno proprietà curative ,Le alghe ... proprietà curative ,HANNO,ANNO,,par_F_plur,Le ... sono organismi che vivono nel mare ,alga,alghe,,funghi,,"Ieri, per la forte mareggiata, c'erano molte alghe sulla spiaggia","Ieri, per la forte mareggiata, ... molte alghe sulla spiaggia",1,0,0,SI,PASSATO,c'erano,ci sarà,c'era,VCCV,,alga,,1,,,,,
10,,1,alieno,a,2,s.,3,10,3,a,lie,no,,,,traeno,alibei,L'alieno dentro la navicella spaziale era piccolo,Com'era l'alieno?,Piccolo,Verde,Gigante,,Nel cartone animato io ho visto un alieno sulla navicella spaziale,Nel cartone animato io ... visto un alieno sulla navicella spaziale,HO,O,,par_F_sing,Nel cartone animato l'alieno era dentro la ... spaziale,navicella,navicelle,oblò,,,Nel cartone animato c'era un alieno sulla navicella spaziale,Nel cartone animato ... un alieno sulla navicella spaziale,1,0,0,NO,PASSATO,c'era,c'è,ci sono,VCVVCV,,alieno,,,,,,,
